"ngb","olympic_paralympic_panamerican","num_events_at_games","ncaa_sport","year","athlete_360","athlete_stipends","coaching_education","covid_athlete_assistance_fund","elite_athlete_health_insurance","high_performance_grants","high_performance_special_grants","national_medical_network","ngb_hpmo_covid_grants","operation_gold","paralympic_sport_development_grants","restricted_grants","sport_science_services","sports_medicine_clinics","facilities_chula_vista_california","facilities_colorado_springs_colorado","facilities_lake_placid_new_york","facilities_salt_lake_city_utah"
"USA Team Handball","Manages the Olympic sport program",2,"No",2019,"0","0","0","0","32175.24","22.5","0","28129.72","0","0","0","0","0","31402.56","0","0","0","0"
"USA Track & Field","Manages the Olympic sport program",48,"Yes",2019,"85161.08","1710000","0","0","1087205.43","3910779.54","50000","344352.31","0","393750","0","0","725659.9","446522.39","891641","65090","0","0"
"USA Triathlon","Manages both the Olympic and Paralympic sport programs",11,"Yes (women only)",2019,"3193.54","206266","37500","0","438396.69","783556.2","26000","87850.35","0","75625","36078.2","0","379475.91","194750.98","0","263340","0","0"
"USA Volleyball","Manages both the Olympic and Paralympic sport programs",6,"Yes",2019,"23419.3","996000","62500","0","365915.19","1725087.35","0","63594.78","0","203750","0","0","374274.05","54265.83","0","95120","0","0"
"USA Water Polo","Manages the Olympic sport program",2,"Yes",2019,"0","659996","0","0","55411.39","1095391.13","50000","589","0","97500","0","200000","234083.84","19557.74","0","0","0","0"
"USA Water Ski & Wake Sports","Manages the Pan American sport program",10,"No",2019,"0","0","0","0","34350.38","733.54","0","0","0","15050","0","0","0","1515.04","0","0","0","0"
"USA Weightlifting","Manages the Olympic sport program",14,"No",2019,"0","0","40000","0","13603.36","152413.93","50000","0","0","23750","0","0","0","9227.95","0","3420","0","0"
"USA Wrestling","Manages the Olympic sport program",18,"Yes",2019,"45774.08","382000","25000","0","95502.77","1438046.49","17500","189653.68","0","67500","0","0","52018.63","347494.14","0","1788125","0","0"
"US Rowing","Manages both the Olympic and Paralympic sport programs",18,"Yes (women only)",2019,"0","905600","12500","0","476439.45","1694228.87","0","0","0","146250","10000","0","165159.15","38013.63","369279","0","0","0"
"American Canoe Association","Manages both the Olympic and Paralympic sport programs",25,"No",2020,"0","72500","0","19771","6352.69","126729.2","25000","935.97","44415","0","0","0","6837.87","35674.47","0","0","19260","0"
"National Wheelchair Basketball Association","Manages the Paralympic sport program",2,"No",2020,"0","149999.88","659.09","20934","134053.27","51639.86","0","24300.92","36415","0","40000","0","96428.8","14101.69","0","26965","0","0"
"U.S. Paralympics Cycling","Manages the Paralympic sport program",51,"No",2020,"8278.89","349818.36","0","22097","282553.62","772785.99","0","17774.96","0","0","14388.9","0","140213.92","58928.25","32868","100510","0","0"
"U.S. Paralympics Nordic Skiing","Manages the Paralympic sport program",38,"No",2020,"689.91","46100","7021.36","10467","5593.96","727688.13","0","3899.5","0","0","0","0","88596.62","9665.73","0","0","0","0"
"U.S. Paralympics Swimming","Manages the Paralympic sport program",146,"No",2020,"18282.54","420562","0","24423","278982.18","543329","0","244104.83","0","0","0","0","215606.63","159227.68","0","197795","0","0"
"U.S. Paralympics Track & Field","Manages the Paralympic sport program",167,"No",2020,"16212.82","764600","0","69780","356635.87","668174.81","0","6862.87","0","0","0","0","254667.19","96330.41","670070","0","0","0"
"US Association of Blind Athletes","Manages the Paralympic sport program",2,"No",2020,"0","77775","4385","17445","16004.99","259616","0","3867","36415","0","0","0","17614.2","1867.77","0","0","0","0"
"US Biathlon Association","Manages both the Olympic and Paralympic sport programs",11,"No",2020,"11383.47","87000","0","5815","18067.04","864889.67","30000","10744.06","32415","7500","0","25000","122419.63","42818.71","0","0","195805","10000"
"US Bowling Congress","Manages the Pan American sport program",4,"Yes",2020,"0","0","0","0","7417.5","0","0","0","32415","0","0","0","0","0","0","0","0","0"
"US Equestrian Federation","Manages both the Olympic and Paralympic sport programs",17,"Yes (women only)",2020,"0","0","2446.02","8141","148221.26","1276000","0","0","40415","0","0","187500","0","0","0","0","0","0"
"US Figure Skating","Manages the Olympic sport program",5,"No",2020,"22077.03","329375","38047.04","30238","91995.63","1227000","22450","38244.97","32415","0","0","0","132308.51","56126.59","0","22320","0","0"
"US Sailing","Manages both the Olympic and Paralympic sport programs",10,"No",2020,"0","225000","659.15","16282","62114.48","1235200","0","0","32415","0","0","180000","28634.95","3735.55","0","0","0","0"
"US Ski and Snowboard Association","Manages the Olympic sport program",55,"Yes",2020,"7244.03","278582.66","238155","100018","800664.84","6375000","75000","257037.62","32415","0","0","0","188603.67","39083.16","0","0","10350","120000"
"US Soccer Federation","Manages both the Olympic and Paralympic sport programs",3,"Yes",2020,"0","119999.97","0","3489","103654.48","732000","0","493.93","32415","0","0","0","0","2521.49","0","0","0","0"
"US Speedskating","Manages the Olympic sport program",23,"No",2020,"344.95","240950","1968.75","32564","30090.39","1727824.01","0","19360.84","32415","31250","0","0","0","1260.75","0","0","9180","155000"
